Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
21462,,1526,1526,100%,0.0,99.88,882,Query_187509
21441,,1526,1526,100%,0.0,99.88,873,Query_187502
21425,,1526,1526,100%,0.0,99.88,878,Query_187494
21414,,1526,1526,100%,0.0,99.88,880,Query_187488
21358,,1526,1526,100%,0.0,99.88,923,Query_187469
21356,,1526,1526,100%,0.0,99.88,921,Query_187468
21346,,1526,1526,100%,0.0,99.88,871,Query_187465
21334,,1526,1526,100%,0.0,99.88,881,Query_187461
21331,,1526,1526,100%,0.0,99.88,881,Query_187460
21324,,1526,1526,100%,0.0,99.88,874,Query_187458
21318,,1526,1526,100%,0.0,99.88,877,Query_187455
21311,,1526,1526,100%,0.0,99.88,881,Query_187453
21349,,1487,1487,97%,0.0,99.88,830,Query_187466
21369,,1485,1485,97%,0.0,99.88,829,Query_187473
21378,,1482,1482,97%,0.0,99.88,827,Query_187476
21450,,1480,1480,96%,0.0,99.88,823,Query_187505
21319,,1461,1461,96%,0.0,99.50,834,Query_187456
21468,,1448,1448,100%,0.0,98.19,878,Query_187511
21459,,1448,1448,100%,0.0,98.19,877,Query_187508
21444,,1448,1448,100%,0.0,98.19,881,Query_187503
21438,,1448,1448,100%,0.0,98.19,877,Query_187501
21430,,1448,1448,100%,0.0,98.19,877,Query_187498
21428,,1448,1448,100%,0.0,98.19,878,Query_187496
21411,,1448,1448,100%,0.0,98.19,878,Query_187487
21402,,1448,1448,100%,0.0,98.19,876,Query_187484
21372,,1448,1448,100%,0.0,98.19,877,Query_187474
21360,,1448,1448,100%,0.0,98.19,881,Query_187470
21352,,1448,1448,100%,0.0,98.19,878,Query_187467
21399,,1424,1424,98%,0.0,98.16,846,Query_187483
21456,,1404,1404,92%,0.0,99.87,782,Query_187507
21432,,1404,1404,92%,0.0,99.87,782,Query_187499
21424,,1404,1404,92%,0.0,99.87,785,Query_187493
21417,,1404,1404,92%,0.0,99.87,785,Query_187489
21408,,1404,1404,92%,0.0,99.87,783,Query_187486
21393,,1404,1404,92%,0.0,99.87,785,Query_187481
21387,,1404,1404,92%,0.0,99.87,785,Query_187479
21382,,1404,1404,92%,0.0,99.87,785,Query_187477
21367,,1404,1404,92%,0.0,99.87,785,Query_187472
21342,,1404,1404,92%,0.0,99.87,781,Query_187464
21321,,1404,1404,92%,0.0,99.87,785,Query_187457
21315,,1404,1404,92%,0.0,99.87,785,Query_187454
21308,,1404,1404,92%,0.0,99.87,785,Query_187452
21305,,1404,1404,92%,0.0,99.87,785,Query_187451
21304,,1404,1404,92%,0.0,99.87,785,Query_187450
21385,,1400,1400,91%,0.0,99.87,783,Query_187478
21375,,1400,1400,91%,0.0,99.87,779,Query_187475
21364,,1358,1358,89%,0.0,99.86,738,Query_187471
21447,,1354,1354,93%,0.0,98.07,778,Query_187504
21477,,1327,1327,92%,0.0,98.03,782,Query_187513
21474,,1327,1327,92%,0.0,98.03,781,Query_187512
21465,,1327,1327,92%,0.0,98.03,783,Query_187510
21453,,1327,1327,92%,0.0,98.03,785,Query_187506
21435,,1327,1327,92%,0.0,98.03,783,Query_187500
21429,,1327,1327,92%,0.0,98.03,785,Query_187497
21427,,1327,1327,92%,0.0,98.03,783,Query_187495
21422,,1327,1327,92%,0.0,98.03,783,Query_187492
21421,,1327,1327,92%,0.0,98.03,785,Query_187491
21420,,1327,1327,92%,0.0,98.03,783,Query_187490
21405,,1327,1327,92%,0.0,98.03,781,Query_187485
21396,,1327,1327,92%,0.0,98.03,783,Query_187482
21390,,1327,1327,92%,0.0,98.03,785,Query_187480
21341,,1327,1327,92%,0.0,98.03,785,Query_187463
21329,,1327,1327,92%,0.0,98.03,785,Query_187459
21336,,887,887,59%,0.0,99.19,524,Query_187462



		


